9         0.389511    0.468402    0.838611  0.802582      00:19     
10        0.397674    0.464175    0.846389  0.810811      00:18     
11        0.361132    0.450868    0.848611  0.804027      00:18     
12        0.344761    0.463710    0.846667  0.809786      00:18     
13        0.335395    0.458315    0.846667  0.807128      00:19     
14        0.330003    0.456452    0.847222  0.809293      00:18     
15        0.338881    0.468882    0.844167  0.804734      00:18     
16        0.321609    0.473045    0.846667  0.806044      00:19     
17        0.318347    0.482225    0.848333  0.807203      00:19     
18        0.325671    0.473354    0.850000  0.804348      00:19     
19        0.338014    0.467757    0.838889  0.803922      00:18     
0         0.547730    0.454405    0.823611  0.769510      00:18     
1         0.519627    0.462603    0.812500  0.780202      00:19     
2         0.492570    0.435028    0.842222  0.801260      00:19     
3         0.527096    0.444110    0.845000  0.795004      00:18     
4         0.501724    0.434592    0.835833  0.795147      00:18     
5         0.471626    0.446992    0.829722  0.794640      00:18     
6         0.421249    0.476427    0.821944  0.796702      00:19     
7         0.427123    0.436229    0.845556  0.801144      00:18     
8         0.428257    0.466543    0.834722  0.794473      00:18     
9         0.396920    0.459964    0.835833  0.801077      00:19     
10        0.415853    0.466953    0.833611  0.797840      00:18     
11        0.363453    0.460929    0.839444  0.799445      00:19     
12        0.351442    0.465674    0.836389  0.801081      00:19     
13        0.348213    0.450880    0.843889  0.804861      00:18     
14        0.339792    0.469230    0.838333  0.801229      00:19     
15        0.345547    0.464574    0.840833  0.801524      00:18     
16        0.327560    0.471557    0.846944  0.804124      00:19     
17        0.322881    0.481795    0.840833  0.800139      00:19     
18        0.332051    0.469722    0.849444  0.805735      00:19     
19        0.347713    0.468347    0.835833  0.797949      00:17     
0         0.543897    0.460428    0.819722  0.771559      00:18     
1         0.518025    0.451650    0.832500  0.793564      00:18     
2         0.492123    0.431589    0.846667  0.802998      00:19     
3         0.531173    0.443598    0.844444  0.802399      00:17     
4         0.494390    0.445597    0.824167  0.794547      00:18     
5         0.473922    0.440713    0.831667  0.796371      00:17     
6         0.422500    0.460954    0.831944  0.802610      00:19     
7         0.418186    0.445399    0.844167  0.801837      00:18     
8         0.418675    0.460878    0.845000  0.804895      00:18     
9         0.393464    0.456343    0.846389  0.810161      00:19     
10        0.411405    0.444208    0.848333  0.808555      00:18     
11        0.360540    0.455404    0.840278  0.800278      00:19     
12        0.359348    0.476324    0.843056  0.805374      00:18     
13        0.341672    0.467279    0.836944  0.802423      00:18     
